ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",45346,7318,"25","14000US20177002500"
2015,"2015",0,"Total",30333,4064,"12","14000US20177001200"
2015,"2015",0,"Total",21865,4141,"5","14000US20177000500"
2015,"2015",0,"Total",100172,6421,"36.04","14000US20177003604"
2015,"2015",0,"Total",52195,10159,"16.04","14000US20177001604"
2015,"2015",0,"Total",47011,9079,"26.01","14000US20177002601"
2015,"2015",0,"Total",25932,1696.9999999999998,"6","14000US20177000600"
2015,"2015",0,"Total",85815,14804,"36.07","14000US20177003607"
2015,"2015",0,"Total",57257,7612,"33.01","14000US20177003301"
2015,"2015",0,"Total",70625,9666,"39.01","14000US20177003901"
2015,"2015",0,"Total",31551,5212,"13","14000US20177001300"
2015,"2015",0,"Total",48625,7363,"18","14000US20177001800"
2015,"2015",0,"Total",22883,3627.0000000000005,"4","14000US20177000400"
2015,"2015",0,"Total",36783,13254,"31","14000US20177003100"
2015,"2015",0,"Total",35598,8965,"10","14000US20177001000"
2015,"2015",0,"Total",48945,5049,"27.01","14000US20177002701"
2015,"2015",0,"Total",70625,4456,"36.01","14000US20177003601"
2015,"2015",0,"Total",75789,10554,"39.02","14000US20177003902"
2015,"2015",0,"Total",65750,11630,"19","14000US20177001900"
2015,"2015",0,"Total",69932,9443,"30.02","14000US20177003002"
2015,"2015",0,"Total",54125,9027,"27.02","14000US20177002702"
2015,"2015",0,"Total",58779,3722.9999999999995,"36.06","14000US20177003606"
2015,"2015",0,"Total",40792,5993,"15","14000US20177001500"
2015,"2015",0,"Total",32813,7570,"8","14000US20177000800"
2015,"2015",0,"Total",64389,4985,"35","14000US20177003500"
2015,"2015",0,"Total",32698,4000.9999999999995,"28","14000US20177002800"
2015,"2015",0,"Total",36506,2981,"21","14000US20177002100"
2015,"2015",0,"Total",49676,8485,"26.02","14000US20177002602"
2015,"2015",0,"Total",37328,6540,"30.01","14000US20177003001"
2015,"2015",0,"Total",63323,3716,"37","14000US20177003700"
2015,"2015",0,"Total",31063,4406,"29","14000US20177002900"
2015,"2015",0,"Total",19894,9408,"11","14000US20177001100"
2014,"2014",0,"Total",56458,10763,"16.04","14000US20177001604"
2014,"2014",0,"Total",29821,4191,"29","14000US20177002900"
2014,"2014",0,"Total",34830,7208,"30.01","14000US20177003001"
2014,"2014",0,"Total",21654,2626,"5","14000US20177000500"
2014,"2014",0,"Total",33505,5718,"28","14000US20177002800"
2014,"2014",0,"Total",42438,4148,"41","14000US20177004100"
2014,"2014",0,"Total",27313,6930.000000000001,"6","14000US20177000600"
2014,"2014",0,"Total",69591,7330,"30.02","14000US20177003002"
2014,"2014",0,"Total",56875,7896,"27.02","14000US20177002702"
2014,"2014",0,"Total",16343,5557,"40","14000US20177004000"
2014,"2014",0,"Total",45859,5357,"27.01","14000US20177002701"
2014,"2014",0,"Total",35197,5335,"7","14000US20177000700"
2014,"2014",0,"Total",35346,11230,"31","14000US20177003100"
2014,"2014",0,"Total",29848,6023,"8","14000US20177000800"
2014,"2014",0,"Total",23295,3593,"4","14000US20177000400"
2014,"2014",0,"Total",46579,7659,"26.02","14000US20177002602"
2014,"2014",0,"Total",79375,9444,"39.02","14000US20177003902"
2014,"2014",0,"Total",64671,6289,"33.01","14000US20177003301"
2014,"2014",0,"Total",43476,5116,"9","14000US20177000900"
2014,"2014",0,"Total",50526,8893,"26.01","14000US20177002601"
2014,"2014",0,"Total",72800,8235,"39.01","14000US20177003901"
2014,"2014",0,"Total",39056,5977,"10","14000US20177001000"
2014,"2014",0,"Total",79346,4590,"33.02","14000US20177003302"
2014,"2014",0,"Total",42891,8355,"25","14000US20177002500"
2014,"2014",0,"Total",19635,7360,"11","14000US20177001100"
2014,"2014",0,"Total",40182,4595,"24","14000US20177002400"
2014,"2014",0,"Total",64188,4683,"37","14000US20177003700"
2014,"2014",0,"Total",72221,4197,"34","14000US20177003400"
2014,"2014",0,"Total",27009,6036,"12","14000US20177001200"
2014,"2014",0,"Total",49038,7971,"22","14000US20177002200"
2014,"2014",0,"Total",92118,12203,"36.07","14000US20177003607"
2014,"2014",0,"Total",31476,4594,"13","14000US20177001300"
2014,"2014",0,"Total",71042,7027.000000000001,"35","14000US20177003500"
2014,"2014",0,"Total",37484,7464,"21","14000US20177002100"
2014,"2014",0,"Total",40431,4360,"15","14000US20177001500"
2014,"2014",0,"Total",67593,9651,"19","14000US20177001900"
2014,"2014",0,"Total",57406,6643,"36.06","14000US20177003606"
2014,"2014",0,"Total",71133,6755.999999999999,"36.01","14000US20177003601"
2014,"2014",0,"Total",42379,5719,"16.01","14000US20177001601"
2014,"2014",0,"Total",49393,3933,"18","14000US20177001800"
2014,"2014",0,"Total",93725,7682,"36.05","14000US20177003605"
2014,"2014",0,"Total",33311,8865,"16.03","14000US20177001603"
2014,"2014",0,"Total",102583,8899,"36.04","14000US20177003604"
2013,"2013",0,"Total",20625,5193,"11","14000US20177001100"
2013,"2013",0,"Total",33287,4426,"30.01","14000US20177003001"
2013,"2013",0,"Total",103836,8436,"36.04","14000US20177003604"
2013,"2013",0,"Total",99500,13917,"36.05","14000US20177003605"
2013,"2013",0,"Total",51944,4525,"18","14000US20177001800"
2013,"2013",0,"Total",31475,4070,"16.03","14000US20177001603"
2013,"2013",0,"Total",65913,7662.999999999999,"19","14000US20177001900"
2013,"2013",0,"Total",42760,9007,"16.01","14000US20177001601"
2013,"2013",0,"Total",55148,5401,"36.06","14000US20177003606"
2013,"2013",0,"Total",67550,7271,"36.01","14000US20177003601"
2013,"2013",0,"Total",36769,3776,"21","14000US20177002100"
2013,"2013",0,"Total",36384,2424,"15","14000US20177001500"
2013,"2013",0,"Total",68411,7660.000000000001,"35","14000US20177003500"
2013,"2013",0,"Total",88321,14146,"36.07","14000US20177003607"
2013,"2013",0,"Total",50469,7507,"22","14000US20177002200"
2013,"2013",0,"Total",36809,8420,"13","14000US20177001300"
2013,"2013",0,"Total",38608,4192,"24","14000US20177002400"
2013,"2013",0,"Total",28958,6783.000000000001,"12","14000US20177001200"
2013,"2013",0,"Total",61844,4201,"37","14000US20177003700"
2013,"2013",0,"Total",72180,6170,"34","14000US20177003400"
2013,"2013",0,"Total",41360,7530,"25","14000US20177002500"
2013,"2013",0,"Total",57969,9917,"16.04","14000US20177001604"
2013,"2013",0,"Total",79941,5712,"33.02","14000US20177003302"
2013,"2013",0,"Total",70665,4063.0000000000005,"39.01","14000US20177003901"
2013,"2013",0,"Total",47350,8373,"26.01","14000US20177002601"
2013,"2013",0,"Total",35530,6545,"10","14000US20177001000"
2013,"2013",0,"Total",47717,5627,"26.02","14000US20177002602"
2013,"2013",0,"Total",43496,2228,"9","14000US20177000900"
2013,"2013",0,"Total",71581,8236,"39.02","14000US20177003902"
2013,"2013",0,"Total",58529,8467,"33.01","14000US20177003301"
2013,"2013",0,"Total",47113,3979,"27.01","14000US20177002701"
2013,"2013",0,"Total",29830,6847.999999999999,"8","14000US20177000800"
2013,"2013",0,"Total",33452,9005,"31","14000US20177003100"
2013,"2013",0,"Total",13750,3307,"40","14000US20177004000"
2013,"2013",0,"Total",58672,6321,"27.02","14000US20177002702"
2013,"2013",0,"Total",35922,4044,"7","14000US20177000700"
2013,"2013",0,"Total",64896,8294,"30.02","14000US20177003002"
2013,"2013",0,"Total",30372,6886,"6","14000US20177000600"
2013,"2013",0,"Total",40329,5095,"41","14000US20177004100"
2013,"2013",0,"Total",33433,3923,"28","14000US20177002800"
2013,"2013",0,"Total",27224,4111,"29","14000US20177002900"
2013,"2013",0,"Total",23164,3676.9999999999995,"5","14000US20177000500"
2013,"2013",0,"Total",21639,2426,"4","14000US20177000400"
