,Unnamed: 0,Name,Address,Latitude,Longitude,Tract
0,0,Mad Eliza's Cakes & Confections,Topeka,39.0016264,-95.7820887,36.04
1,1,Sam's Club Bakery,"1401 Southwest Wanamaker Road, Topeka",39.04149879999999,-95.76462509999999,36.07
2,2,Cold Stone Creamery,"1227 Southwest Wanamaker Road Ste 100, Topeka",39.0449945,-95.763936,24.01
3,3,Smallcakes Topeka,"1223 Southwest Wanamaker Road #300, Topeka",39.0449889,-95.7623443,24.01
4,4,Panera Bread,"1421 Southwest Wanamaker Road, Topeka",39.04092299999999,-95.762263,36.07
5,5,Walmart Bakery,"1501 Southwest Wanamaker Road, Topeka",39.039818800000006,-95.7645465,36.07
6,6,Perkins Restaurant & Bakery,"1720 Southwest Wanamaker Road, Topeka",39.0351831,-95.7615392,26.02
7,7,Bakers Dozen 17th,"5938 Southwest 17th Street #400, Topeka",39.0369924,-95.7601425,26.02
8,8,Cookies by Gayla,"1801 Southwest Wanamaker Road, Topeka",39.0324592,-95.7657713,36.07
9,9,Cookie Boutique,Topeka,39.0320586,-95.76627909999999,36.07
10,10,Kan You Say Oh Yum,"5745 Southwest 69th Street, Auburn",38.9419555,-95.7570257,39.02
11,11,Le Petit Bon Bon,"835 Southwest Fairlawn Road, Topeka",39.053254300000006,-95.74371049999999,24.02
12,12,Dillons Bakery,"5315 Southwest 22nd Place, Topeka",39.0265135,-95.74512059999999,26.01
13,13,Pizagel's Pizza & Bakery,"2830 Southwest Fairlawn Road, Topeka",39.0152339,-95.7434052,27.01
14,14,Baskin-Robbins,"4400 Southwest 21st Street, Topeka",39.0300252,-95.7306572,25
15,15,Daylight Donuts,"4201 Southwest 21st Street, Topeka",39.0291405,-95.7280502,27.01
16,16,Dillons Bakery,"4015 Southwest 10th Avenue, Topeka",39.0506936,-95.72750359999999,24.01
17,17,Baking Traditions,"4036 Southwest Huntoon Street, Topeka",39.044173,-95.72679409999999,24.01
18,18,Schlotzsky's,"2019 Southwest Gage Boulevard, Topeka",39.0305526,-95.7259309,27.01
19,19,Dunkin',"4009 Southwest 21st Street, Topeka",39.0291848,-95.7269628,27.01
20,20,Baker's Dozen 6th Street,"2601 Southwest 6th Avenue, Topeka",39.0583399,-95.7073852,21
21,21,Walmart Bakery,"335 Southwest Macvicar Avenue, Topeka",39.0599126,-95.70834909999999,41
22,22,Josey Baking Co.,"3119 Southwest Huntoon Street, Topeka",39.04379429999999,-95.7162539,19
23,23,Simply Sarah's Catering,"1518 Southwest 41st Street, Topeka",38.99571299999999,-95.698132,37.01
24,24,Paradise Donuts,"1620 Southwest 6th Avenue, Topeka",39.05793120000001,-95.6953878,22
25,25,Roxie's Donut Dive & Coffee,"1440 Southwest Huntoon Street, Topeka",39.0447563,-95.6962909,4
26,26,Bimbo Baking Co,"4100 Southwest Martin Drive # 1, Topeka",38.9945371,-95.6965266,37.01
27,27,Walmart Bakery,"1301 Southwest 37th Street, Topeka",38.9988477,-95.6943546,28
28,28,Schlotzsky's,"400 Southwest 29th Street Z, Topeka",39.0161677,-95.68697829999999,15
29,29,Scooter's Coffee,"2909 Southwest Topeka Boulevard, Topeka",39.0137953,-95.68805859999999,28
30,30,Walmart Bakery,"2600 Northwest Rochester Road, Topeka",39.0936964,-95.6717619,7
31,31,Shana Cake,"435 South Kansas Avenue, Topeka",39.05337700000001,-95.672933,40
32,32,Daylight Donuts,"1001 Southeast Quincy Street, Topeka",39.0454427,-95.6746954,40
33,33,El Torito Topeka,"3000 Northwest Topeka Boulevard, Topeka",39.10058400000001,-95.6630364,33.01
34,34,Paradise Donuts North,"2037 Northwest Topeka Boulevard, Topeka",39.0871094,-95.66543349999999,7
35,35,Baker's Dozen Donuts North,"1949 Northwest Topeka Boulevard, Topeka",39.08469259999999,-95.6660319,7
36,36,Panderia Reynosa Bakery,"1200 Northeast Seward Avenue, Topeka",39.05904279999999,-95.6542677,10
37,37,Baskin-Robbins,"2837 Southeast California Avenue, Topeka",39.015386,-95.6521262,13
38,38,Walmart Bakery,"2630 Southeast California Avenue, Topeka",39.0205912,-95.6485077,31
39,39,Marlene Bakery,"1925 Northeast Seward Avenue, Topeka",39.0586319,-95.64494909999999,10
40,40,Panaderia Monterrey,"3154 Southeast 6th Avenue, Topeka",39.0456019,-95.6352172,11
